sector,organisation,common_name,address,latitude,longitude,color
Public Service,Office of Treaty Settlements,Office of Treaty Settlements,"Level 3 The Justice Centre,   19 Aitken Street, Wellington 6011",-41.2771436,174.7791114,#fb9a99
Polytechnics/Institutes of technology,Open Polytechnic of New Zealand,Open Polytechnic of New Zealand,"3 Cleary Street, Lower Hutt 5011",,,#e31a1c
District Council,Opotiki District Council,Opotiki District Council,"108 St John Street, Opotiki     ",,,#fdbf6f
Public Service,Oranga Tamariki—Ministry for Children,Oranga Tamariki—Ministry for Children,"56 The Terrace, Wellington 6011",-41.291659,174.773099,#fb9a99
Non-Public Service departments,Organised & Financial Crime Agency New Zealand,Organised & Financial Crime Agency New Zealand,,,,#80b1d3
Polytechnics/Institutes of technology,Otago Polytechnic,Otago Polytechnic,"F Block, Forth Street, Dunedin 9054",,,#e31a1c
Regional Council,Otago Regional Council,Otago Regional Council,"70 Stafford Street, Dunedin    ",,,#b15928
District Council,Otorohanga District Council,Otorohanga District Council,"17 Maniapoto Street, Otorohanga  3900",,,#fdbf6f
Public Service,Overseas Investment Office,Overseas Investment Office,"Level 7 Radio New Zealand House, 155 The Terrace, Wellington    ",-41.2795997,174.7767345,#fb9a99
Trusts,Pacific Co-operation Foundation,Pacific Cooperation Foundation,"Level 2, 139 Quay Street, Auckland     ",,,#b2df8a
Trusts,Pacific Island Business Development Trust,Pacific Business Trust,"Level 1, 101C Station Road, Penrose, Auckland 1061",,,#b2df8a
City Council,Palmerston North City Council,Palmerston North City Council,"Civic Administration Building, 32 The Square, Palmerston North 4410",,,#ff7f00
Non-Public Service departments,Parliamentary Counsel Office,Parliamentary Counsel Office,"Level 12 Reserve Bank Building, 2 The Terrace, Wellington    ",-41.2789975,174.775217,#80b1d3
Non-Public Service departments,Parliamentary Service,Parliamentary Service,"Parliament Buildings, Molesworth Street, Wellington",-41.27471870000001,174.7777792,#80b1d3
Public Service,Personal Property Securities Register,Personal Property Securities Register,"15 Stout Street, Wellington 6011",-41.2864603,174.776236,#fb9a99
Crown agents,Pharmaceutical Management Agency,Pharmaceutical Management Agency,"Level 9 Simpl House, 40 Mercer Street, Wellington 6011",-41.2881357,174.7755405,#a6cee3
City Council,Porirua City Council,Porirua City Council,"Administration Building, 16 Cobham Court, Porirua 5240",,,#ff7f00
Independent crown entities,Privacy Commissioner,Privacy Commissioner,"Level 8, 109-111 Featherston Street, Wellington 6143",-41.2822349,174.7777367,#8dd3c7
Autonomous crown entities,Public Trust,Public Trust,"Level 9                                     , 34 Shortland Street, Auckland 1010",,,#1f78b4
District Council,Queenstown-Lakes District Council,Queenstown-Lakes District Council,"10 Gorge Road, Queenstown    ",,,#fdbf6f
State-owned enterprises,Quotable Value Limited,Quotable Value Limited,"Level 1 QV House, 22 Nevis Street, Petone, Lower Hutt 5012",,,#33a02c
Public Service,Radio Spectrum Management,Radio Spectrum Management,"15 Stout Street, Wellington 6011",-41.2812795,174.7769242,#fb9a99
District Council,Rangitikei District Council,Rangitikei District Council,"46 High Street, Marton    ",,,#fdbf6f
Crown agents,Real Estate Authority,Real Estate Authority,"Level 3, 3 The Terrace, Wellington 6011",-41.279103,174.7757457,#a6cee3
Public Service,Registrar of Unions,Registrar of Unions,"15 Stout Street, Wellington 6011",-41.2758108,174.7780478,#fb9a99
Public Finance Act Schedule 4a companies,Research and Education Advanced Network New Zealand Limited,REANNZ,"Level 1 Qual IT House, 22 The Terrace, Wellington 6011",-41.2796469,174.7751124,#ffffb3
State Services,Reserve Bank of New Zealand,Reserve Bank of New Zealand,"Reserve Bank Building, 2 The Terrace, Wellington 6140",-41.2789975,174.775217,#fccde5
Public Service,Resolution Services,Resolution Services,"15 Stout Street, Wellington 6011",-41.2864603,174.776236,#fb9a99
District Council,Rotorua District Council,Rotorua Lakes Council,"Civic Centre, 1061 Haupapa Street, Rotorua    ",,,#fdbf6f
Non-Public Service departments,Royal New Zealand Airforce,Royal New Zealand Airforce,"Defence House, 2-12 Aitken Street, Wellington     ",-41.2810088,174.7770071,#80b1d3
Non-Public Service departments,Royal New Zealand Navy,Royal New Zealand Navy,"Defence House, 2-12 Aitken Street , Wellington    ",-41.291256,174.773602,#80b1d3
District Council,Ruapehu District Council,Ruapehu District Council,"59-63 Huia Street, Taumarunui 3920",,,#fdbf6f
District Council,Selwyn District Council,Selwyn District Council,"2 Norman Kirk Drive, Rolleston 7614   ",,,#fdbf6f
Public Service,Senior Services,Senior Services,"The Aurora Centre, 56 The Terrace, Wellington 6011",-41.2916817,174.7734796,#fb9a99
Public Service,Serious Fraud Office,Serious Fraud Office,"Level 6, 21 Queen Street, Auckland Central, Auckland 1010",,,#fb9a99
Public Service,Social Investment Agency,Social Investment Agency,"Level 3, Wellington 6011",-41.2864603,174.776236,#fb9a99
Autonomous crown entities,Social Policy Evaluation and Research Unit - Superu,Social Policy Evaluation and Research Unit - Superu,"Level 7, 110 Featherston Street, Wellington 6011",-41.2864603,174.776236,#1f78b4
Crown agents,Social Workers Registration Board,Social Workers Registration Board,"Level 6, 11 Chews Lane, Wellington 6011",-41.2874878,174.7758707,#a6cee3
District Health Boards,South Canterbury District Health Board,South Canterbury District Health Board,"Corner of Queen and High Street, Timaru 7940",,,#cab2d6
District Council,South Taranaki District Council,South Taranaki District Council,"105 - 111 Albion Street, Hawera 4610",,,#fdbf6f
District Council,South Waikato District Council,South Waikato District Council,"Torphin Crescent, Tokoroa 3444",,,#fdbf6f
District Council,South Wairarapa District Council,South Wairarapa District Council,"19 Kitchener Street, Martinborough 5711",,,#fdbf6f
District Health Boards,Southern District Health Board,Southern District Health Board,"Dunedin Hospital, 201 Great King Street, Dunedin     ",,,#cab2d6
Polytechnics/Institutes of technology,Southern Institute of Technology,Southern Institute of Technology,"133  Tay Street, Invercargill 9840",,,#e31a1c
Public Finance Act Schedule 4a companies,Southern Response Earthquake Services Limited,Southern Response Earthquake Services Limited,"Addington, Christchurch",,,#ffffb3
District Council,Southland District Council,Southland District Council,"15 Forth Street, Invercargill 9810",,,#fdbf6f
Regional Council,Southland Regional Council,Southland Regional Council,"Corner of North Road and Price Street, Waikiwi, Invercargill 9810",,,#b15928
Crown agents,Sport New Zealand,Sport New Zealand,"Ground floor, AMP Building, 86 Customhouse Quay, Wellington 6011",-41.2864603,174.776236,#a6cee3
Public Service,Standards New Zealand,Standards New Zealand,"Level 6, 8 Gilmer Terrace, Wellington 6011",-41.281138,174.776707,#fb9a99
Public Service,State Housing Appeals Authority,State Housing Appeals Authority,,,,#fb9a99
Public Service,State Services Commission,State Services Commission,"Level 10 Reserve Bank Building, No.2 The Terrace, Wellington    ",-41.279024,174.7752392,#fb9a99
Public Service,Statistics New Zealand,Stats NZ,"8 Gilmer Terrace, Wellington 6011",-41.2852474,174.7749234,#fb9a99
District Council,Stratford District Council,Stratford District Council,"61-63 Miranda Street, Stratford    ",,,#fdbf6f
Public Service,StudyLink,StudyLink,"The Aurora Centre, 56 The Terrace, Wellington 6011",-41.2917909,174.7736232,#fb9a99
Public Service,Supreme Court of New Zealand,Supreme Court of New Zealand,"85 Lambton Quay, Wellington 6011",-41.2798551,174.7768211,#fb9a99
Polytechnics/Institutes of technology,Tai Poutini Polytechnic,Tai Poutini Polytechnic,"73-87 Tainui Street, Greymouth 7840",,,#e31a1c
District Health Boards,Tairāwhiti District Health Board,Hauora Tairāwhiti,"Gisborne Hospital, 421 Ormond Road, Gisborne 4040",,,#cab2d6
Polytechnics/Institutes of technology,Tairāwhiti Polytechnic,Tairāwhiti Polytechnic,"290 Palmerston Road, Gisborne 4010",,,#e31a1c
Independent crown entities,Takeovers Panel,Takeovers Panel,"Level 3 Solnet House, 70 The Terrace, Wellington 6011",-41.2814144,174.7746734,#8dd3c7
District Health Boards,Taranaki District Health Board,Taranaki District Health Board,"Taranaki Base Hospital, 23 David Street, Westown, New Plymouth 4310",,,#cab2d6
Regional Council,Taranaki Regional Council,Taranaki Regional Council,"47 Cloten Road, Stratford 4332",,,#b15928
District Council,Tararua District Council,Tararua District Council,"26 Gordon Street, Dannevirke",,,#fdbf6f
District Council,Tasman District Council,Tasman District Council,"189 Queen Street, Richmond, Nelson 7050",,,#fdbf6f
District Council,Taupo District Council,Taupo District Council,"46 Horomatangi Street, Taupo 3330",,,#fdbf6f
City Council,Tauranga City Council,Tauranga City Council,"91  Willow Street, Tauranga 3143",,,#ff7f00
Autonomous crown entities,Te Reo Whakapuaki Irirangi (Māori Broadcasting Funding Agency),Te Māngai Pāho,"Level 2 Te Puni Kōkiri House, 143 Lambton Quay, Wellington 6011",-41.28136689999999,174.7775404,#1f78b4
Other (bodies corporate),Te Tumu Paeroa,Te Tumu Paeroa,"Level 3 Seabridge House, 110  Featherston Street, Wellington 6011",-41.281742,174.777521,#d9d9d9
Wānanga,Te Whare Wānanga o Awanuiārangi,Te Whare Wānanga o Awanuiārangi,"Ground Floor, 13 Domain Road, Whakatane    ",,,#bc80bd
Wānanga,Te Wānanga o Aotearoa,Te Wānanga o Aotearoa,"320 Factory Road, Te Awamutu 3840",,,#bc80bd
Wānanga,Te Wānanga o Raukawa,Te Wānanga o Raukawa,"144 Tasman Road, Otaki 5512",,,#bc80bd
Public Service,TeachNZ,TeachNZ,"Level 1 Mātauranga House, 33 Bowen Street, Wellington 6011",-41.2864603,174.776236,#fb9a99
Autonomous crown entities,Telarc Limited,Telarc Limited,"626 Great South Road, Ellerslie, Auckland 1051",,,#1f78b4
Universities,Telford Rural Polytechnic,Telford Rural Polytechnic,"498  Owaka Highway, Balclutha, Otago 9271",,,#6a3d9a
Public Service,Tenancy Services,Tenancy Services,"15 Stout Street, Wellington 6011",-41.2811887,174.7768489,#fb9a99
Crown agents,Tertiary Education Commission,Tertiary Education Commission,"Level 10, 44 The Terrace, Wellington 6011",-41.2805018,174.7749766,#a6cee3
District Council,Thames-Coromandel District Council,Thames-Coromandel District Council,"515 Mackay Street, Thames 3500",,,#fdbf6f
Public Service,The Office of Ethnic Communities,The Office of Ethnic Communities,"45 Pipitea Street, Thorndon, Wellington 6011",-41.2864603,174.776236,#fb9a99
Public Service,The Treasury,The Treasury,"Level 5, 1 The Terrace, Wellington   ",-41.2792833,174.7758097,#fb9a99
District Council,Timaru District Council,Timaru District Council,"2 King George Place, Timaru 7910",,,#fdbf6f
Polytechnics/Institutes of technology,Toi Ohomai Institute of Technology,Toi Ohomai Institute of Technology,"Mokoia Drive, Tihiotonga, Rotorua 3015",,,#e31a1c
Public Service,Trading Standards,Trading Standards,"Ministry of Business, Innovation and Employment, 15 Stout Street, Wellington 6011",-41.2864603,174.776236,#fb9a99
Independent crown entities,Transport Accident Investigation Commission,Transport Accident Investigation Commission,"Level 16, 80 The Terrace, Wellington 6140",-41.281652,174.7743541,#8dd3c7
State-owned enterprises,Transpower New Zealand Limited,Transpower,"Level 7 Transpower House, 96 The Terrace, Wellington 6011",-41.2880529,174.7739437,#33a02c
Polytechnics/Institutes of technology,Unitec Institute of Technology,Unitec Institute of Technology,"Carrington Road, Mt Albert,  Auckland   ",,,#e31a1c
Polytechnics/Institutes of technology,Universal College of Learning,Universal College of Learning,"Corner of King and Princess Streets, Palmerston North 4442",,,#e31a1c
Universities,University of Auckland,The University of Auckland,"City Campus, 24 Princes Street, Auckland 1010",,,#6a3d9a
Universities,University of Canterbury,University of Canterbury,"20  Kirkwood Ave, Ilam, Christchurch 8041",,,#6a3d9a
Universities,University of Otago,University of Otago,"362 Leith Street, North Dunedin, Dunedin 9016",,,#6a3d9a
Universities,University of Waikato,University of Waikato,"Gate 1, Knighton Road, Hillcrest, Hamilton 3216",,,#6a3d9a
City Council,Upper Hutt City Council,Upper Hutt City Council,"Civic Administration Building, 838 - 842 Fergusson Drive, Upper Hutt 5018",,,#ff7f00
Public Service,Valuers Registration Board,Valuers Registration Board,,,,#fb9a99
Non-Public Service departments,Veterans' Affairs New Zealand,Veterans' Affairs New Zealand,,,,#80b1d3
Universities,Victoria University of Wellington,Victoria University of Wellington,"Kelburn Campus, Kelburn Parade, Wellington 6012",-41.2904017,174.7686615,#6a3d9a
District Council,Waikato District Council,Waikato District Council,"15 Galileo Street, Ngaruawahia 3720",,,#fdbf6f
District Health Boards,Waikato District Health Board,Waikato District Health Board,"Corner Selwyn and Pembroke Streets, Hamilton West, Hamilton 3204",,,#cab2d6
Polytechnics/Institutes of technology,Waikato Institute of Technology,Waikato Institute of Technology,"City Campus, Tristam Street, Hamilton 3240",,,#e31a1c
Regional Council,Waikato Regional Council,Waikato Regional Council,"401 Grey Street, Hamilton East, Hamilton 3216",,,#b15928
District Council,Waimakariri District Council,Waimakariri District Council,"215 High Street, Rangiora 7400",,,#fdbf6f
District Council,Waimate District Council,Waimate District Council,"Local Government Centre, 125 Queen Street, Waimate 7924",,,#fdbf6f
District Council,Waipa District Council,Waipa District Council,"101 Bank Street, Te Awamutu 3800",,,#fdbf6f
District Health Boards,Wairarapa District Health Board,Wairarapa District Health Board,"Te Ore Ore Road, Masterton 5840",,,#cab2d6
District Council,Wairoa District Council,Wairoa District Council,"Coronation Square, 97-103  Queen Street, Wairoa, Hawke's Bay 4108    ",,,#fdbf6f
District Council,Waitaki District Council,Waitaki District Council,"20 Thames Street, Oamaru 9400",,,#fdbf6f
Public Service,Waitangi Tribunal,Waitangi Tribunal,"Level 7 Fujitsu Tower, 141  The Terrace, Wellington",-41.2852497,174.7766365,#fb9a99
District Health Boards,Waitemata District Health Board,Waitemata District Health Board,"Level 2, 15 Shea Terrace, Takapuna, Auckland 0622",,,#cab2d6
District Council,Waitomo District Council,Waitomo District Council,"Queen Street, Te Kuiti 3941",,,#fdbf6f
Public Service,Weathertight Services,Weathertight Services,"15 Stout Street, Wellington 6011",-41.31562599999999,174.779227,#fb9a99
City Council,Wellington City Council,Wellington City Council,"101 Wakefield Street, Wellington 6011",-41.2864603,174.776236,#ff7f00
Polytechnics/Institutes of technology,Wellington Institute of Technology,WelTec,"21 Kensington Avenue, Petone, Lower Hutt",,,#e31a1c
District Health Boards,West Coast District Health Board,West Coast District Health Board,"Grey Base Hospital, High Street, Greymouth 7805",,,#cab2d6
Regional Council,West Coast Regional Council,West Coast Regional Council,"388 Main South Road, Paroa, Greymouth 7805",,,#b15928
District Council,Western Bay of Plenty District Council,Western Bay of Plenty District Council,"1484 Cameron Road, Greerton, Tauranga",,,#fdbf6f
Polytechnics/Institutes of technology,Western Institute of Technology at Taranaki,Western Institute of Technology at Taranaki,"20 Bell Street, New Plymouth 4342",,,#e31a1c
District Council,Westland District Council,Westland District Council,"36 Weld Street, Hokitika 7810",,,#fdbf6f
District Council,Whakatāne District Council,Whakatāne District Council,"Civic Centre, 14 Commerce Street, Whakatāne",,,#fdbf6f
District Council,Whanganui District Council,Whanganui District Council,"101  Guyton Street , Whanganui 5015",,,#fdbf6f
District Health Boards,Whanganui District Health Board,Whanganui District Health Board,"100 Heads Road, Whanganui 4501",,,#cab2d6
District Council,Whangarei District Council,Whangarei District Council,"Forum North Building, Rust Avenue, Whangarei 0110",,,#fdbf6f
Polytechnics/Institutes of technology,Whitireia Community Polytechnic,Whitireia Community Polytechnic,"Main Campus, 3 Wineera Drive, Porirua 5022",,,#e31a1c
Public Service,Work and Income,Work and Income,"The Aurora Centre, 56 The Terrace, Wellington 6011",-41.2917143,174.773469,#fb9a99
Crown agents,WorkSafe New Zealand,WorkSafe New Zealand,"Level 6, 86 Customhouse Quay, Wellington 6011",-41.285413,174.776629,#a6cee3
Public Service,Youth Court,Youth Court,"Level 3 Justice Centre, Aitken Street, Wellington",-41.2798551,174.7768211,#fb9a99
