id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
kattegat-1,1218,"[{""landing_point_id"":10605,""name"":""Kungsbacka, Sweden"",""latlon"":""57.487482,12.076234""},{""landing_point_id"":10606,""name"":""Saeby, Denmark"",""latlon"":""57.330829,10.516566""}]",Kattegat 1,#bd3662,"<MultiGeometry><LineString><coordinates>10.5166683477374,57.3310462570752,0 10.8000665844754,57.390458723501,0 11.7000659469074,57.4510360539647,0 12.0762375554239,57.4876912827877,0</coordinates></LineString></MultiGeometry>",180 km,August 1995,"TDC,  TeliaSonera,  Tata Communications,  BT",,
kattegat-2,1688,"[{""landing_point_id"":10320,""name"":""Lyngsa, Denmark"",""latlon"":""57.244807,10.514613""},{""landing_point_id"":10322,""name"":""Osterby, Denmark"",""latlon"":""57.313459,11.199281""},{""landing_point_id"":10323,""name"":""Skalvik, Sweden"",""latlon"":""56.683186,12.683265""},{""landing_point_id"":10321,""name"":""Vestero, Denmark"",""latlon"":""57.272248,10.966957""}]",Kattegat 2,#80c342,"<MultiGeometry><LineString><coordinates>10.5146175679402,57.2449174346949,0 10.9669609974959,57.2726463116465,0</coordinates></LineString><LineString><coordinates>11.1992850516653,57.3137522359321,0 12.1500656281234,56.8407386421456,0 12.6833660315784,56.68336942453,0</coordinates></LineString></MultiGeometry>",75 km,2001,TDC,,
kodiak-kenai-fiber-link-kkfl,1530,"[{""landing_point_id"":4067,""name"":""Anchorage, Alaska, United States"",""latlon"":""61.217461,-149.858369""},{""landing_point_id"":8392,""name"":""Homer, Alaska, United States"",""latlon"":""59.646368,-151.544306""},{""landing_point_id"":8393,""name"":""Kenai, Alaska, United States"",""latlon"":""60.552910,-151.259785""},{""landing_point_id"":8394,""name"":""Kodiak, Alaska, United States"",""latlon"":""57.794135,-152.395282""},{""landing_point_id"":8395,""name"":""Narrow Cape, Alaska, United States"",""latlon"":""57.426838,-152.329169""},{""landing_point_id"":5755,""name"":""Seward, Alaska, United States"",""latlon"":""60.112188,-149.443135""}]",Kodiak Kenai Fiber Link (KKFL),#37bdad,"<MultiGeometry><LineString><coordinates>-149.447671457023,60.110050680764,0 -149.399819928422,59.9060699245744,0 -149.399819928422,59.6796637072089,0 -149.849819609638,59.4517173189052,0 -151.199818653286,58.9911767026986,0 -151.424818493894,58.5243939608448,0 -151.424818493894,58.0513158910603,0 -151.87481817511,57.5718902790051,0 -152.329068951947,57.4244932251948,0 -152.099818015718,57.5718902790051,0 -152.099818015718,57.6923445802609,0 -152.395179134606,57.7944220929606,0 -152.099818015718,57.8123997505166,0 -151.649818334502,58.0513158910603,0 -151.649818334502,58.5243939608448,0 -152.324817856326,59.1068949571908,0 -152.324817856326,59.5088486822126,0 -152.099818015718,59.5658834634297,0 -151.544248951281,59.6465669643075,0 -152.099818015718,59.6796637072089,0 -152.099818015718,59.9060699245744,0 -151.649818334502,60.3542894749811,0 -151.26871814061,60.5531014201816,0 -151.591859391186,60.7090696324518,0 -151.591859391186,60.867467152007,0 -150.233410036141,61.2175572070885,0 -149.858410301794,61.2175572070885,0</coordinates></LineString></MultiGeometry>",966 km,January 2007,GCI,http://www.alaskaunited.com,
korea-japan-cable-network-kjcn,1231,"[{""landing_point_id"":4059,""name"":""Fukuoka, Japan"",""latlon"":""33.590301,130.401653""},{""landing_point_id"":5895,""name"":""Kita-kyushu, Japan"",""latlon"":""33.839276,131.032024""},{""landing_point_id"":4183,""name"":""Pusan, Korea, Rep."",""latlon"":""35.170147,128.999310""}]",Korea-Japan Cable Network (KJCN),#b42e26,"<MultiGeometry><LineString><coordinates>131.031915004856,33.8395239333572,0 130.499981787933,34.3121516522355,0 128.999494569642,35.1703816994832,0 130.049982106716,34.3121516522355,0 130.401642013847,33.5902251607915,0</coordinates></LineString></MultiGeometry>",500 km,March 2002,"QTNet,  KT,  Softbank Telecom,  NTT",,
kuwait-iran,1250,"[{""landing_point_id"":5990,""name"":""Ganaveh, Iran"",""latlon"":""29.570747,50.521125""},{""landing_point_id"":10603,""name"":""Khark Island, Iran"",""latlon"":""29.245772,50.312043""},{""landing_point_id"":3871,""name"":""Kuwait City, Kuwait"",""latlon"":""29.374019,47.974739""},{""landing_point_id"":10604,""name"":""Soroosh Platform, Iran"",""latlon"":""29.072481,49.478059""}]",Kuwait-Iran,#c8247a,"<MultiGeometry><LineString><coordinates>49.9500388502678,29.4425846458375,0 50.3120503125654,29.2460289333935,0</coordinates></LineString><LineString><coordinates>49.5000391690517,29.3445669894899,0 49.4780665283674,29.0727401063114,0</coordinates></LineString><LineString><coordinates>47.9748449370137,29.3741013448043,0 48.4875398863158,29.3445669894899,0 49.5000391690517,29.3445669894899,0 49.9500388502678,29.4425846458375,0 50.5211321956999,29.5707495475868,0</coordinates></LineString></MultiGeometry>",380 km,June 2005,"Telecommunication Infrastructure Company of Iran,  Kuwait Ministry of Communications",,
lanis-1,1616,"[{""landing_point_id"":8408,""name"":""Blackpool, United Kingdom"",""latlon"":""53.808663,-3.050749""},{""landing_point_id"":13370,""name"":""Port Grenaugh, United Kingdom"",""latlon"":""54.099996,-4.566666""}]",Lanis-1,#54bd85,"<MultiGeometry><LineString><coordinates>-3.05075368159856,53.8089773090791,0 -3.48742329413269,53.835350263976,0 -4.49992257686871,54.0340382567242,0 -4.56662174836837,54.1002865330003,0</coordinates></LineString></MultiGeometry>",113 km,1992,Vodafone,,
lanis-2,1751,"[{""landing_point_id"":13371,""name"":""Ballywater, United Kingdom"",""latlon"":""54.542745,-5.484390""},{""landing_point_id"":13372,""name"":""Peel, United Kingdom"",""latlon"":""54.222445,-4.691422""}]",Lanis-2,#334da1,"<MultiGeometry><LineString><coordinates>-4.69142634745565,54.2224474863632,0 -4.79142627661474,54.2808415431805,0 -5.3842969503696,54.5429469356054,0 -5.48434570761913,54.5429469356054,0</coordinates></LineString></MultiGeometry>",67 km,1992,Vodafone,,
latvia-sweden-1-lv-se-1,1270,"[{""landing_point_id"":5951,""name"":""Nynashamn, Sweden"",""latlon"":""58.902923,17.946543""},{""landing_point_id"":5897,""name"":""Ventspils, Latvia"",""latlon"":""57.389533,21.569979""}]",Latvia-Sweden 1 (LV-SE 1),#44b64a,"<MultiGeometry><LineString><coordinates>21.570078486148,57.3897219241417,0 21.1500592524435,57.4510360539647,0 19.5750603681875,58.0513158910603,0 18.4500611651475,58.4067166874866,0 18.0000614839315,58.7585689448829,0 17.9465458968424,58.9030980634302,0</coordinates></LineString></MultiGeometry>",304 km,1994,"TeliaSonera,  Tele2,  Lattelecom,  Telecom Italia Sparkle",,
lev-submarine-system,1065,"[{""landing_point_id"":3215,""name"":""Mazara del Vallo, Italy"",""latlon"":""37.650126,12.591272""},{""landing_point_id"":3213,""name"":""Tel Aviv, Israel"",""latlon"":""32.044599,34.769668""},{""landing_point_id"":5811,""name"":""Yeroskipos, Cyprus"",""latlon"":""34.766411,32.466544""}]",Lev Submarine System,#c2982e,"<MultiGeometry><LineString><coordinates>31.0500522391956,33.0012185226545,0 32.4666527981625,34.7665718254425,0</coordinates></LineString><LineString><coordinates>12.5913739092465,37.6505844408328,0 12.6563152694914,37.2323543215562,0 12.8250651499474,36.8732195120893,0 13.5000646717714,35.9679743475934,0 14.4000640342034,35.4197805170805,0 16.6500624402835,35.0522299109368,0 19.3500605275795,35.4197805170805,0 25.2000563833876,34.2656775265243,0 31.0500522391956,33.0012185226545,0 33.7500503264916,32.2432100162627,0 34.7696785104275,32.0450101365145,0</coordinates></LineString></MultiGeometry>","2,600 km",March 1999,Telecom Italia Sparkle,http://mediterranean.tisparkle.com,
lfon-libyan-fiber-optic-network,1184,"[{""landing_point_id"":10838,""name"":""Al Baida, Libya"",""latlon"":""32.881732,21.741659""},{""landing_point_id"":7870,""name"":""Al Brega, Libya"",""latlon"":""30.378108,19.576523""},{""landing_point_id"":7866,""name"":""Al Khoms, Libya"",""latlon"":""32.649664,14.264416""},{""landing_point_id"":7871,""name"":""Benghazi, Libya"",""latlon"":""32.116584,20.066757""},{""landing_point_id"":7873,""name"":""Darnah, Libya"",""latlon"":""32.763556,22.639217""},{""landing_point_id"":7867,""name"":""Misurata, Libya"",""latlon"":""32.374274,15.094787""},{""landing_point_id"":7869,""name"":""Ras Lanuf, Libya"",""latlon"":""30.586738,18.411875""},{""landing_point_id"":7868,""name"":""Sirt, Libya"",""latlon"":""31.205256,16.588341""},{""landing_point_id"":7874,""name"":""Tobrok, Libya"",""latlon"":""32.079609,23.960310""},{""landing_point_id"":7872,""name"":""Tolmeta, Libya"",""latlon"":""32.716730,20.949960""},{""landing_point_id"":4271,""name"":""Tripoli, Libya"",""latlon"":""32.877301,13.187268""},{""landing_point_id"":7865,""name"":""Zawia, Libya"",""latlon"":""32.774725,12.529749""},{""landing_point_id"":7864,""name"":""Zwara, Libya"",""latlon"":""32.933380,12.083362""}]",LFON (Libyan Fiber Optic Network),#37b08b,"<MultiGeometry><LineString><coordinates>12.0833664566238,32.9335430021787,0 12.3750654687315,33.0012185226545,0 12.5298505153302,32.7748846358576,0 12.6422405724308,32.9637207268544,0 13.0500649905554,33.0012185226545,0 13.1873695807876,32.8776265774575,0 13.5000646717714,33.0012185226545,0 14.1750641935955,32.8123187832877,0 14.2645172552261,32.6499904234398,0 14.4000640342034,32.8123187832877,0 14.8500637154195,32.8123187832877,0 15.0750635560275,32.6230166400079,0 15.0949854169146,32.3746087523791,0 15.3000633966355,32.3383115780129,0 16.4250625996755,31.4788226727363,0 16.5884413901864,31.2055857477848,0 16.8750622808915,31.2867388143918,0 17.5500618027155,31.2867388143918,0 18.2250613245395,30.9013960885156,0 18.4119752546279,30.5869897072181,0 18.6750610057555,30.7081399935416,0 19.3500605275795,30.7081399935416,0 19.5765252108998,30.3784454870954,0 19.5750603681875,30.7081399935416,0 19.8000602087955,31.8618086022708,0 20.0667592386134,32.1169146031417,0 20.0250600494035,32.4333133064172,0 20.2500598900115,32.7177179367584,0 20.7000595712275,32.8123187832877,0 20.9499617379445,32.7169784719982,0 21.1500592524435,33.0012185226545,0 21.6000589336595,33.0012185226545,0 21.7417580520285,32.8821372753799,0 22.0500586148755,33.0012185226545,0 22.5000582960915,33.0012185226545,0 22.6391206975784,32.763634895297,0 22.9500579773075,32.8123187832877,0 23.8500573397395,32.4333133064172,0 23.9604088240655,32.0798523905836,0</coordinates></LineString></MultiGeometry>","1,639 km",1999,"Libyan Post,  Telecommunications and Information Technology Company (LPTIC Holding)",,
libreville-port-gentil-cable,1747,"[{""landing_point_id"":4221,""name"":""Libreville, Gabon"",""latlon"":""0.394272,9.454360""},{""landing_point_id"":10818,""name"":""Port Gentil, Gabon"",""latlon"":""-0.721035,8.781606""}]",Libreville-Port Gentil Cable,#49c3ca,"<MultiGeometry><LineString><coordinates>8.7816109831183,-0.720649712666152,0 8.77504360495819,-0.331409329660171,0 9.02038034522184,0.265950725402019,0 9.45426675660264,0.394464098132281,0</coordinates></LineString></MultiGeometry>",198 km,April 2012,Republic of Gabon,,
lower-indian-ocean-network-lion,1594,"[{""landing_point_id"":9399,""name"":""Sainte Marie, Réunion"",""latlon"":""-20.897368,55.549931""},{""landing_point_id"":9400,""name"":""Terre Rouge, Mauritius"",""latlon"":""-20.077813,57.510086""},{""landing_point_id"":9398,""name"":""Toamasina, Madagascar"",""latlon"":""-18.146173,49.400325""}]",Lower Indian Ocean Network (LION),#c74e2c,"<MultiGeometry><LineString><coordinates>57.5100920884051,-20.0775335640537,0 56.7000340685078,-20.1525437860187,0 55.8000347060758,-20.4690584854573,0 55.5750348654678,-20.5744190572761,0 55.5477887910192,-20.8972710403369,0 55.3500350248598,-20.5744190572761,0 52.2000372563478,-18.8801399751012,0 49.4002345522543,-18.1460855308753,0</coordinates></LineString></MultiGeometry>","1,060 km",November 2009,"Orange,  Mauritius Telecom,  Orange Madagascar",http://www.orange.com/,
lower-indian-ocean-network-2-lion2,1667,"[{""landing_point_id"":10123,""name"":""Kaweni, Mayotte"",""latlon"":""-12.817099,45.165854""},{""landing_point_id"":10122,""name"":""Nyali, Kenya"",""latlon"":""-4.050501,39.700036""}]",Lower Indian Ocean Network 2 (LION2),#983b96,"<MultiGeometry><LineString><coordinates>45.4500420381077,-11.9439449317469,0 45.1657648957423,-12.8170918748336,0</coordinates></LineString><LineString><coordinates>39.7001437676396,-4.05029657542636,0 42.3000442695957,-5.0498571673668,0 43.2000436320277,-5.72187274783404,0 45.4500420381077,-11.9439449317469,0 47.2500407629718,-11.9439449317469,0 48.6000398066198,-11.5033338459843,0 49.5000391690517,-11.5033338459843,0 50.4000385314838,-12.3838404331855,0 51.7500375751318,-17.168553094226,0 52.2000372563478,-18.8801399751012,0</coordinates></LineString></MultiGeometry>","2,700 km",April 2012,"Orange,  Mauritius Telecom,  Orange Madagascar,  Telkom Kenya,  Société Réunionnaise du Radiotéléphone,  Emtel,  STOI",,
main-one,1565,"[{""landing_point_id"":4181,""name"":""Accra, Ghana"",""latlon"":""5.558283,-0.201092""},{""landing_point_id"":3280,""name"":""Lagos, Nigeria"",""latlon"":""6.438874,3.423210""},{""landing_point_id"":9058,""name"":""Seixal, Portugal"",""latlon"":""38.642276,-9.107387""}]",Main One,#614099,"<MultiGeometry><LineString><coordinates>-0.204320151163767,5.55828340166227,0 7.42352913356379e-05,4.16491284997696,0 7.42352913356379e-05,1.69334082279185,0</coordinates></LineString><LineString><coordinates>-9.10743884411095,38.6426593066653,0 -9.44991907024474,38.2111790370232,0 -9.78741883115677,37.2323543215562,0 -10.1249185920688,35.7856618995262,0 -10.5749182732848,33.9396400883196,0 -13.9499158824048,29.7360694972921,0 -14.3999155636208,28.9515547321933,0 -14.5124154839248,28.1610522622209,0 -15.0749150854448,26.9643047345629,0 -18.4499126945648,22.8846541138825,0 -19.7999117382128,19.9526229051643,0 -19.8069429832318,11.6858303477611,0 -18.4499126945648,8.63569941732753,0 -13.9499158824048,3.26681481681573,0 -10.7999181138927,1.01853421661563,0 -3.59992321443669,1.01853421661563,0 7.42352913356379e-05,1.69334082279185,0 1.57507311954734,1.91822878021566,0 2.25007264137136,2.48031178685879,0 3.37507184441137,4.16491284997696,0 3.42350931009782,6.43906892991951,0</coordinates></LineString></MultiGeometry>","7,000 km",July 2010,Main One Cable Company,http://www.mainonecable.com,
malaysia-cambodia-thailand-mct-cable,1776,"[{""landing_point_id"":6011,""name"":""Cherating, Malaysia"",""latlon"":""4.130232,103.393658""},{""landing_point_id"":10985,""name"":""Rayong, Thailand"",""latlon"":""12.670658,101.277351""},{""landing_point_id"":9118,""name"":""Sihanoukville, Cambodia"",""latlon"":""10.630009,103.506647""}]",Malaysia-Cambodia-Thailand (MCT) Cable,#b8932f,"<MultiGeometry><LineString><coordinates>103.500000914972,8.19054341779558,0 101.925002030716,9.52441134501959,0 101.250002508892,11.2947093195655,0 101.137502588588,12.175887185508,0 101.277346239522,12.6706627664496,0</coordinates></LineString><LineString><coordinates>103.506739191449,10.6304015496421,0 103.612500835276,9.52441134501959,0 103.500000914972,8.19054341779558,0 103.950000596188,5.51007171180323,0 103.72500075558,4.61359157886284,0 103.395215832953,4.11630961071919,0</coordinates></LineString></MultiGeometry>","1,300 km",March 2017,"Telekom Malaysia,  Ezecom,  Symphony,  DTAC",,
mariana-guam-cable,1757,"[{""landing_point_id"":13409,""name"":""Rota, Northern Mariana Islands"",""latlon"":""14.151846,145.212462""},{""landing_point_id"":13408,""name"":""Saipan, Northern Mariana Islands"",""latlon"":""15.177737,145.750938""},{""landing_point_id"":3251,""name"":""Tanguisson Point, Guam"",""latlon"":""13.549100,144.809337""},{""landing_point_id"":13410,""name"":""Tinian, Northern Mariana Islands"",""latlon"":""15.011123,145.637461""}]",Mariana-Guam Cable,#5f489d,"<MultiGeometry><LineString><coordinates>145.751142858867,15.1782031622553,0 145.637471064393,15.0115044246222,0 145.212471365467,14.1522234757028,0 144.809541963406,13.5490980087823,0</coordinates></LineString></MultiGeometry>",n.a.,1997,IT&E,,
mataram-kupang-cable-system-mkcs,1780,"[{""landing_point_id"":14650,""name"":""Ambalawi, Indonesia"",""latlon"":""-8.319396,118.760350""},{""landing_point_id"":14648,""name"":""Ende, Indonesia"",""latlon"":""-8.855308,121.651560""},{""landing_point_id"":14653,""name"":""Kupang, Indonesia"",""latlon"":""-10.183311,123.583395""},{""landing_point_id"":14613,""name"":""Mataram, Indonesia"",""latlon"":""-8.586388,116.081543""},{""landing_point_id"":14651,""name"":""Saraemee, Indonesia"",""latlon"":""-8.796934,118.711815""},{""landing_point_id"":14649,""name"":""Sumbawa Besar, Indonesia"",""latlon"":""-8.496959,117.400976""},{""landing_point_id"":14652,""name"":""Waingapu, Indonesia"",""latlon"":""-9.646153,120.253025""}]",Mataram Kupang Cable System (MKCS),#d5264b,"<MultiGeometry><LineString><coordinates>117.401065286078,-8.49657623809102,0 117.22499119206,-8.17849027894484,0 117.22499119206,-7.95571709433464,0</coordinates></LineString><LineString><coordinates>116.081534970845,-8.58600290516881,0 115.987492068716,-8.40113904812291,0 116.09999198902,-8.17849027894484,0 116.549991670236,-7.95571709433464,0 117.22499119206,-7.95571709433464,0 118.3499903951,-7.95571709433464,0 118.760341666904,-8.31882009450511,0</coordinates></LineString><LineString><coordinates>120.253016390729,-9.64576974118305,0 120.59998880118,-9.29042430103552,0 120.59998880118,-9.06830600387436,0</coordinates></LineString><LineString><coordinates>123.583385125214,-10.1829361994309,0 123.299986888476,-10.1220877580411,0 121.949987844828,-9.29042430103552,0 121.651648212425,-8.85473459571266,0 121.499988163612,-9.06830600387436,0 120.59998880118,-9.06830600387436,0 119.249989757532,-9.06830600387436,0 118.711806545036,-8.79644864255585,0</coordinates></LineString></MultiGeometry>","1,318 km",April 2011,Telkom Indonesia,,
matrix-cable-system,1535,"[{""landing_point_id"":5862,""name"":""Batam, Indonesia"",""latlon"":""1.134726,103.962506""},{""landing_point_id"":5937,""name"":""Changi South, Singapore"",""latlon"":""1.389047,103.987017""},{""landing_point_id"":3012,""name"":""Jakarta, Indonesia"",""latlon"":""-6.171887,106.827836""}]",Matrix Cable System,#b1c436,"<MultiGeometry><LineString><coordinates>103.962598243514,1.13472453594225,0 104.019922421655,1.2126378124275,0 104.166113724342,1.23060246550726,0 104.287890981823,1.20159290867376,0 104.625000118012,1.18725277369424,0 104.84999995862,1.1310143264318,0 105.299999639836,1.1310143264318,0</coordinates></LineString><LineString><coordinates>105.299999639836,1.1310143264318,0 104.84999995862,1.24349007697817,0 104.625000118012,1.24349007697817,0 104.194434016779,1.30919637672398,0 103.987012288719,1.38944749170165,0</coordinates></LineString><LineString><coordinates>106.833396991063,-6.17158651838072,0 106.987498444396,-5.27394436364126,0 107.324998205308,-4.60145376483708,0 107.213499260858,-3.02999596800863,0 107.097996412993,-2.13091848096027,0 106.762498603788,-0.331409329660171,0 105.299999639836,1.1310143264318,0</coordinates></LineString></MultiGeometry>","1,055 km",August 2008,Matrix Networks Pte. Ltd.,http://www.matrixnetworks.sg,
maya-1,1071,"[{""landing_point_id"":3842,""name"":""Cancún, Mexico"",""latlon"":""21.095727,-86.767555""},{""landing_point_id"":5799,""name"":""Half Moon Bay, Cayman Islands"",""latlon"":""19.282959,-81.166776""},{""landing_point_id"":3650,""name"":""Hollywood, Florida, United States"",""latlon"":""26.010202,-80.160234""},{""landing_point_id"":5928,""name"":""Maria Chiquita, Panama"",""latlon"":""9.437334,-79.753544""},{""landing_point_id"":5851,""name"":""Puerto Cortes, Honduras"",""latlon"":""15.844802,-87.946070""},{""landing_point_id"":5810,""name"":""Puerto Limon, Costa Rica"",""latlon"":""9.988603,-83.037674""},{""landing_point_id"":5808,""name"":""Tolu, Colombia"",""latlon"":""9.496294,-75.558564""}]",Maya-1,#94459a,"<MultiGeometry><LineString><coordinates>-80.1601717128134,26.0105531615743,0 -79.7623692602454,25.3487174221168,0 -79.8748691805494,24.7371782721761,0 -80.9998683835894,23.9171012909351,0 -83.2498667896694,23.7112581424844,0 -84.8248656739254,22.8846541138825,0 -85.9498648769654,21.6352973848595,0 -85.7248650363574,20.3750412534655,0 -84.8248656739254,19.1044054759306,0 -82.3498674272374,17.3950226347006,0 -80.9998683835894,16.102325595803,0 -80.5498687023734,13.9293038432719,0 -80.0998690211574,13.0541506952987,0 -78.2998702962933,10.6320332081178,0 -76.4998715714293,10.0786980066509,0 -75.5586613006915,9.49638398339625,0</coordinates></LineString><LineString><coordinates>-86.767588907057,21.095724564803,0 -86.5123644784854,21.216397899942,0 -86.1748647175734,21.4259978723854,0 -85.9498648769654,21.6352973848595,0</coordinates></LineString><LineString><coordinates>-83.0376599087487,9.9885936703727,0 -82.9123670287574,10.4108165054027,0 -80.5498687023734,11.9558582071149,0 -80.0998690211574,13.0541506952987,0</coordinates></LineString><LineString><coordinates>-87.9461586287878,15.8449856571937,0 -87.2998639206134,16.5341961982597,0 -85.4998651957494,18.2518163190283,0 -84.8248656739254,19.1044054759306,0</coordinates></LineString><LineString><coordinates>-82.3498674272374,17.3950226347006,0 -81.1667627966098,19.2829582724089,0</coordinates></LineString><LineString><coordinates>-79.7535313758812,9.43762503396889,0 -79.1998696587254,9.96791518697424,0 -78.2998702962933,10.6320332081178,0</coordinates></LineString></MultiGeometry>","4,400 km",October 2000,"Verizon,  AT&T,  Sprint,  Hondutel,  Telefonica,  Orbitel,  Telecom Italia Sparkle,  C&W Networks,  Entel Chile,  Embratel,  ETB,  Axtel,  Instituto Costarricense de Electricidad,  Proximus,  Prepa Networks,  Orange,  Tricom,  RSL Telecom,  América Móvil",http://www.maya-1.com,
med-cable-network,1366,"[{""landing_point_id"":4176,""name"":""Algiers, Algeria"",""latlon"":""36.765336,3.031804""},{""landing_point_id"":4196,""name"":""Annaba, Algeria"",""latlon"":""36.902348,7.755435""},{""landing_point_id"":3210,""name"":""Marseille, France"",""latlon"":""43.293165,5.372623""},{""landing_point_id"":8359,""name"":""Oran, Algeria"",""latlon"":""35.701641,-0.641961""}]",Med Cable Network,#3e81c0,"<MultiGeometry><LineString><coordinates>7.75543983506759,36.9028218397081,0 7.65006881596338,37.2323543215562,0 6.7500694535314,38.6518117127113,0 5.73757017079539,41.7443587894823,0 5.37253136689231,43.2936266517659,0</coordinates></LineString><LineString><coordinates>6.7500694535314,38.6518117127113,0 5.40007040988339,38.2111790370232,0 3.15007200380337,37.0529993642337,0 3.03571661606379,36.7621281576381,0 2.92507216319534,37.0529993642337,0 1.80007296015533,37.0529993642337,0 7.42352913356379e-05,36.3313383558881,0 -0.642015153596511,35.7016446875981,0</coordinates></LineString></MultiGeometry>","1,300 km",October 2005,Orascom Telecom Holding,,
melita-1,1602,"[{""landing_point_id"":9028,""name"":""Bahar ic-Caghaq, Malta"",""latlon"":""35.934062,14.458752""},{""landing_point_id"":8972,""name"":""Pozzallo, Italy"",""latlon"":""36.733720,14.853869""}]",Melita 1,#834d9f,"<MultiGeometry><LineString><coordinates>14.4587553988759,35.9341390165503,0 14.5125639545074,36.1498667868178,0 14.8500637154195,36.6027547403299,0 14.8538723064714,36.7338801167052,0</coordinates></LineString></MultiGeometry>",97 km,June 2009,Melita,http://www.melita.com,
mid-atlantic-crossing-mac,1070,"[{""landing_point_id"":4512,""name"":""Brookhaven, New York, United States"",""latlon"":""40.773147,-72.912276""},{""landing_point_id"":3650,""name"":""Hollywood, Florida, United States"",""latlon"":""26.010202,-80.160234""},{""landing_point_id"":5750,""name"":""St. Croix, Virgin Islands, United States"",""latlon"":""17.771864,-64.819408""}]",Mid-Atlantic Crossing (MAC),#5cbb47,"<MultiGeometry><LineString><coordinates>-74.2498731653493,33.5654914823521,0 -75.5998722089973,30.9013960885156,0 -77.3998709338613,28.9515547321933,0 -79.1998696587254,26.9643047345629,0 -79.6498693399414,26.3610863253917,0 -80.1601717128134,26.0105531615743,0 -79.6498693399414,26.2602409715778,0 -78.9748698181174,26.9643047345629,0 -77.8498706150773,27.663994423747,0 -76.9498712526454,27.7635885260577,0 -73.3498738029173,26.9643047345629,0 -69.2998766719733,24.9413631717539,0 -67.0498782658933,22.0529856166776,0 -65.9248790628533,20.3750412534655,0 -65.2498795410292,18.8916615843033,0 -65.1936295808772,18.2518163190283,0 -64.8192646117059,17.7739101621269,0 -64.5748800192052,18.1449435642963,0 -64.2373802582932,18.3586233721534,0 -64.2373802582932,18.8916615843033,0 -64.599880001495,20.9131167663195,0 -65.2498795410292,24.9413631717539,0 -66.5998785846773,28.1610522622209,0 -72.4498744404853,38.6518117127113,0 -72.9122764566654,40.7735177761008,0 -72.6748742810933,38.6518117127113,0 -74.2498731653493,33.5654914823521,0</coordinates></LineString></MultiGeometry>","7,500 km",June 2000,Level 3,http://www.level3.com,
moratelindo-international-cable-system-1-mic-1,1561,"[{""landing_point_id"":5862,""name"":""Batam, Indonesia"",""latlon"":""1.134726,103.962506""},{""landing_point_id"":5940,""name"":""Changi North, Singapore"",""latlon"":""1.389047,103.987017""}]",Moratelindo International Cable System-1 (MIC-1),#3550a3,"<MultiGeometry><LineString><coordinates>103.987012288719,1.38944749170165,0 103.962598243514,1.13472453594225,0</coordinates></LineString></MultiGeometry>",70 km,January 2008,Moratelindo,http://www.moratelindo.co.id,
tampnet-offshore-foc-network,1203,"[{""landing_point_id"":3537,""name"":""Aberdeen, United Kingdom"",""latlon"":""57.153791,-2.106804""},{""landing_point_id"":15386,""name"":""Farsund, Norway"",""latlon"":""58.082770,6.752799""},{""landing_point_id"":5923,""name"":""Kårstø, Norway"",""latlon"":""59.279266,5.524381""},{""landing_point_id"":3084,""name"":""Lowestoft, United Kingdom"",""latlon"":""52.471359,1.729180""},{""landing_point_id"":16556,""name"":""Øygarden, Norway"",""latlon"":""60.587346,4.830241""}]",Tampnet Offshore FOC Network,#98499c,"<MultiGeometry><LineString><coordinates>2.70007232258735,58.9911767026986,0 3.37507184441137,59.9060699245744,0 4.50007104745138,60.5761167403877,0 4.83024659480192,60.5873409982223,0</coordinates></LineString><LineString><coordinates>3.60007168501936,56.3452229268199,0 4.50007104745138,56.5937929784191,0 6.30006977231538,57.6923445802609,0 6.75280382659433,58.0827725341141,0</coordinates></LineString><LineString><coordinates>-2.10680903779779,57.1537936608001,0 -1.7999244895727,57.086065975868,0 2.70007232258735,56.8407386421456,0</coordinates></LineString><LineString><coordinates>1.72927222906125,52.4688256361003,0 1.91257288045936,52.6232614185273,0 2.25007264137136,53.2335953186493,0 2.47507248197935,54.0340382567242,0 2.81257224289135,54.8193619142492,0 3.60007168501936,56.3452229268199,0 2.9849720231055,56.5491941087813,0 2.70007232258735,56.8407386421456,0 2.47507248197935,57.8123997505166,0 2.70007232258735,58.9911767026986,0 4.05007136623535,58.8750683108978,0 5.17507056927537,58.9911767026986,0 5.52448438424735,59.2792687377747,0</coordinates></LineString></MultiGeometry>","1,751 km",July 1999,Tampnet,http://www.tampnet.com/,
