Station,Day(Local_Date),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa)
2283,2014 Feb 13,2.0,17.3,20.4,14.1,13.2,15.6
24120,2014 Feb 13,1.2,15.2,20.4,9.0,-,13.4
24976,2014 Feb 13,0.4,18.6,25.4,11.4,8.5,12.2
3445,2014 Feb 13,0.0,17.2,21.8,12.6,-,13.9
4271,2014 Feb 13,0.0,16.4,22.8,9.9,4.9,11.8
5451,2014 Feb 13,0.4,13.9,17.4,10.4,9.6,12.5
11104,2014 Feb 14,1.6,12.9,15.2,10.5,10.5,12.7
18183,2014 Feb 14,0.6,18.0,22.5,15.1,11.5,15.6
1962,2014 Feb 14,1.2,19.3,22.7,15.9,14.2,15.7
2283,2014 Feb 14,0.2,17.3,20.4,14.1,12.7,15.3
24120,2014 Feb 14,1.0,16.8,23.2,13.1,-,14.1
24976,2014 Feb 14,0.2,19.8,26.8,13.3,10.3,13.4
3445,2014 Feb 14,0.0,18.7,21.8,15.5,-,15.6
4271,2014 Feb 14,0.0,18.8,24.7,12.8,8.0,14.0
5451,2014 Feb 14,0.0,15.5,21.4,9.5,7.5,12.4
11104,2014 Feb 15,0.2,13.0,15.1,10.9,9.7,13.1
18183,2014 Feb 15,0.0,17.7,23.8,12.0,10.3,15.2
1962,2014 Feb 15,1.4,18.7,23.1,14.3,10.3,16.3
2283,2014 Feb 15,0.6,16.9,21.3,12.5,9.8,16.0
24120,2014 Feb 15,0.1,16.8,22.2,13.0,-,14.5
24976,2014 Feb 15,0.0,18.9,24.8,12.9,11.6,16.3
3445,2014 Feb 15,0.0,17.9,21.5,14.3,-,14.9
4271,2014 Feb 15,0.0,17.5,22.8,12.2,6.9,13.5
5451,2014 Feb 15,0.0,15.1,21.7,8.5,7.5,12.9
11104,2014 Feb 16,0.0,17.2,23.9,10.4,7.9,15.4
18183,2014 Feb 16,0.0,18.9,25.4,12.2,10.7,15.8
1962,2014 Feb 16,0.0,20.3,27.0,13.5,8.9,16.3
2283,2014 Feb 16,0.0,16.0,22.4,9.6,6.7,14.1
24120,2014 Feb 16,0.0,17.3,24.0,12.4,-,15.7
24976,2014 Feb 16,0.0,19.4,25.7,14.0,11.7,16.4
3445,2014 Feb 16,0.0,17.6,21.6,13.6,-,15.7
4271,2014 Feb 16,0.0,18.2,22.4,14.0,7.7,15.7
5451,2014 Feb 16,0.0,18.2,25.9,10.4,8.9,13.8
11104,2014 Feb 17,3.6,15.8,19.2,12.3,11.1,15.7
18183,2014 Feb 17,0.0,21.2,26.8,16.1,15.1,18.6
1962,2014 Feb 17,0.0,21.0,26.7,15.3,13.3,17.3
2283,2014 Feb 17,0.0,18.3,24.0,12.6,10.7,15.7
24120,2014 Feb 17,0.3,20.9,27.7,15.5,-,13.6
24976,2014 Feb 17,0.0,18.6,25.7,11.8,10.2,15.9
3445,2014 Feb 17,0.0,20.0,23.8,16.2,-,15.8
4271,2014 Feb 17,0.0,17.7,23.0,12.4,6.6,16.5
5451,2014 Feb 17,0.0,18.7,23.7,13.6,11.1,11.4
11104,2014 Feb 18,0.0,14.2,16.3,12.1,9.2,14.5
18183,2014 Feb 18,4.4,21.5,27.2,19.7,18.6,21.1
1962,2014 Feb 18,0.0,23.5,28.0,18.9,15.3,19.1
2283,2014 Feb 18,0.0,19.4,24.9,13.8,12.1,17.2
24120,2014 Feb 18,0.1,23.7,34.4,15.9,-,13.6
24976,2014 Feb 18,0.0,20.7,29.5,12.5,9.8,16.8
3445,2014 Feb 18,0.0,20.2,22.5,17.9,-,18.2
4271,2014 Feb 18,0.0,21.3,25.2,17.3,14.5,19.6
5451,2014 Feb 18,0.0,18.2,25.2,11.2,9.4,14.2
11104,2014 Feb 19,0.0,17.0,22.1,11.9,12.3,15.8
18183,2014 Feb 19,0.2,21.6,23.9,20.2,19.4,22.8
1962,2014 Feb 19,0.0,22.1,25.6,18.5,15.8,20.2
2283,2014 Feb 19,0.0,20.3,25.6,15.0,13.2,18.2
24120,2014 Feb 19,0.0,17.7,22.0,15.1,-,15.2
24976,2014 Feb 19,0.0,20.5,29.0,13.7,11.1,17.6
3445,2014 Feb 19,0.0,18.1,20.5,15.7,-,18.1
4271,2014 Feb 19,0.0,20.7,24.1,17.3,12.8,20.9
5451,2014 Feb 19,0.0,17.4,25.8,8.9,8.2,14.9
11104,2014 Feb 20,0.2,19.2,26.4,12.0,10.1,17.9
18183,2014 Feb 20,0.0,22.5,26.2,19.9,19.4,22.5
1962,2014 Feb 20,0.0,21.8,25.6,17.9,15.8,20.2
2283,2014 Feb 20,0.0,19.4,24.0,14.7,12.8,18.3
24120,2014 Feb 20,0.0,18.0,23.1,15.8,-,17.2
24976,2014 Feb 20,0.0,18.8,24.8,12.9,10.5,17.6
3445,2014 Feb 20,0.5,15.4,17.3,13.4,-,17.0
4271,2014 Feb 20,0.0,19.0,22.9,15.1,9.8,19.5
5451,2014 Feb 20,0.0,20.3,27.9,12.7,10.5,15.2
11104,2014 Feb 21,1.8,19.1,24.1,14.0,12.4,17.3
18183,2014 Feb 21,0.0,22.7,27.4,20.2,19.2,21.3
1962,2014 Feb 21,0.0,22.9,27.9,17.9,14.5,19.4
2283,2014 Feb 21,0.0,19.9,25.4,14.3,12.8,18.8
24120,2014 Feb 21,0.1,17.8,22.8,15.4,-,16.6
24976,2014 Feb 21,0.1,20.6,28.0,13.7,11.9,17.2
3445,2014 Feb 21,0.7,17.9,22.7,13.0,-,18.5
4271,2014 Feb 21,0.0,18.7,20.8,16.5,11.7,19.1
5451,2014 Feb 21,0.2,21.4,28.6,14.1,12.9,14.9
11104,2014 Feb 22,1.0,13.9,19.2,8.5,7.7,12.0
18183,2014 Feb 22,0.2,22.1,25.9,19.3,17.4,23.4
1962,2014 Feb 22,0.2,22.3,24.8,19.7,18.2,22.9
2283,2014 Feb 22,0.0,20.3,23.3,17.3,14.2,20.6
24120,2014 Feb 22,0.0,23.2,31.5,15.2,-,12.2
24976,2014 Feb 22,0.0,23.1,30.4,14.8,13.7,18.6
3445,2014 Feb 22,0.0,20.3,23.1,17.4,-,18.4
4271,2014 Feb 22,0.0,21.4,27.0,15.7,10.3,16.9
5451,2014 Feb 22,2.6,16.2,22.1,10.2,9.6,9.5
11104,2014 Feb 23,12.2,9.3,13.2,5.4,4.4,9.2
18183,2014 Feb 23,0.0,19.6,23.3,16.0,14.2,16.2
1962,2014 Feb 23,0.0,20.1,23.5,16.6,15.0,16.7
2283,2014 Feb 23,0.0,17.3,22.2,12.4,8.5,13.1
24120,2014 Feb 23,11.1,13.3,19.0,7.0,-,10.1
24976,2014 Feb 23,0.0,23.4,28.9,16.9,15.6,16.3
3445,2014 Feb 23,0.0,16.9,21.0,12.7,-,12.9
4271,2014 Feb 23,0.0,15.7,19.6,11.8,6.9,9.6
5451,2014 Feb 23,1.8,10.5,13.5,7.5,2.2,7.2
11104,2014 Feb 24,3.6,11.1,19.4,2.8,0.6,9.8
18183,2014 Feb 24,0.0,18.8,24.2,14.2,11.1,12.5
1962,2014 Feb 24,0.0,18.0,22.5,13.4,11.0,11.9
2283,2014 Feb 24,0.0,14.5,20.9,8.0,1.3,11.1
24120,2014 Feb 24,0.0,14.3,26.0,4.9,-,10.0
24976,2014 Feb 24,0.0,16.5,22.7,8.6,6.0,11.4
3445,2014 Feb 24,0.0,14.9,19.7,10.1,-,11.1
4271,2014 Feb 24,0.0,13.2,20.3,6.1,-1.3,9.4
5451,2014 Feb 24,0.0,11.4,21.1,1.7,-0.2,7.3
11104,2014 Feb 25,1.6,11.7,14.6,8.8,6.7,10.2
18183,2014 Feb 25,0.0,18.3,24.5,13.6,12.0,13.7
1962,2014 Feb 25,0.0,18.0,22.8,13.1,9.1,15.1
2283,2014 Feb 25,0.0,16.0,24.3,7.7,3.8,12.4
24120,2014 Feb 25,0.0,13.0,17.1,9.5,-,11.1
24976,2014 Feb 25,0.0,18.4,24.4,12.7,10.7,14.0
3445,2014 Feb 25,0.0,15.8,19.4,12.1,-,13.1
4271,2014 Feb 25,0.0,16.7,23.0,10.4,3.9,12.5
5451,2014 Feb 25,0.0,13.4,19.4,7.4,4.6,6.7
11104,2014 Feb 26,0.0,13.3,22.5,4.1,-0.7,10.7
18183,2014 Feb 26,0.0,18.4,25.3,11.9,10.7,15.4
1962,2014 Feb 26,0.0,19.2,25.4,13.0,8.3,16.4
2283,2014 Feb 26,0.0,16.7,21.9,11.5,8.0,14.6
24120,2014 Feb 26,0.1,16.4,21.3,12.6,-,13.4
24976,2014 Feb 26,0.8,17.6,23.4,13.0,10.8,15.2
3445,2014 Feb 26,0.0,-,-,-,-,13.4
4271,2014 Feb 26,0.0,18.5,23.2,13.8,6.2,13.7
5451,2014 Feb 26,0.0,12.6,22.9,2.3,0.6,8.4
11104,2014 Feb 27,6.2,14.6,20.6,8.5,4.7,11.6
18183,2014 Feb 27,0.0,19.8,26.4,14.3,13.1,16.5
1962,2014 Feb 27,0.0,20.7,25.6,15.7,13.2,17.0
2283,2014 Feb 27,0.0,17.8,22.3,13.2,10.4,15.6
24120,2014 Feb 27,0.0,17.7,21.8,14.5,-,15.4
24976,2014 Feb 27,0.0,18.2,24.7,13.2,10.7,15.3
3445,2014 Feb 27,0.0,18.4,23.7,13.1,-,14.1
4271,2014 Feb 27,0.0,16.7,22.5,10.8,4.1,15.0
5451,2014 Feb 27,4.6,15.7,23.6,7.7,5.2,10.0
11104,2014 Feb 28,1.6,10.0,13.9,6.0,0.1,9.4
18183,2014 Feb 28,0.0,18.3,25.1,12.6,9.5,16.0
1962,2014 Feb 28,0.2,19.4,24.6,14.2,10.7,17.1
2283,2014 Feb 28,0.4,17.9,22.0,13.7,11.7,14.2
24120,2014 Feb 28,13.7,12.8,19.7,6.9,-,11.5
24976,2014 Feb 28,0.0,20.8,29.8,12.2,10.2,13.0
3445,2014 Feb 28,3.7,15.6,20.8,10.3,-,14.2
4271,2014 Feb 28,0.0,17.9,24.2,11.6,6.0,12.1
5451,2014 Feb 28,5.2,10.1,13.8,6.3,4.3,9.0
11104,2014 Mar 01,0.0,9.5,15.0,3.9,0.0,10.5
18183,2014 Mar 01,0.0,17.5,22.1,13.8,11.3,12.8
1962,2014 Mar 01,0.0,18.2,20.9,15.5,13.2,11.9
2283,2014 Mar 01,0.0,13.0,19.0,7.0,3.2,10.6
24120,2014 Mar 01,0.2,10.6,16.4,3.9,-,8.1
24976,2014 Mar 01,0.0,16.5,20.8,11.9,9.2,10.3
3445,2014 Mar 01,0.9,13.7,15.6,11.7,-,9.2
4271,2014 Mar 01,0.0,12.2,18.4,6.0,-0.8,8.9
5451,2014 Mar 01,0.0,9.3,14.7,3.8,2.1,7.6
11104,2014 Mar 02,7.2,11.4,15.6,7.1,5.1,11.5
18183,2014 Mar 02,0.0,17.0,22.8,13.5,11.2,13.1
1962,2014 Mar 02,0.0,17.9,22.0,13.8,11.7,13.4
2283,2014 Mar 02,0.0,13.3,19.9,6.7,3.9,11.9
24120,2014 Mar 02,0.0,14.8,21.8,5.9,-,10.1
24976,2014 Mar 02,0.0,16.9,24.8,10.7,9.1,10.7
3445,2014 Mar 02,0.0,14.4,19.8,8.9,-,11.9
4271,2014 Mar 02,0.0,13.8,19.6,8.0,1.4,11.1
5451,2014 Mar 02,4.4,12.2,18.5,5.9,4.5,9.1
11104,2014 Mar 03,4.8,9.4,13.3,5.5,3.1,9.6
18183,2014 Mar 03,0.0,16.7,22.1,12.2,7.5,14.2
1962,2014 Mar 03,1.8,18.2,22.6,13.8,11.7,14.5
2283,2014 Mar 03,4.2,14.9,19.6,10.2,7.8,12.3
24120,2014 Mar 03,11.4,11.1,17.8,6.7,-,9.2
24976,2014 Mar 03,0.0,17.9,25.8,11.4,7.9,11.6
3445,2014 Mar 03,2.5,13.9,18.3,9.4,-,11.3
4271,2014 Mar 03,3.2,12.9,16.8,9.0,4.4,9.8
5451,2014 Mar 03,17.0,7.5,10.9,4.1,4.2,7.9
11104,2014 Mar 04,2.0,11.1,13.3,8.8,7.9,9.3
18183,2014 Mar 04,0.0,16.6,20.2,13.8,11.7,11.5
1962,2014 Mar 04,0.8,16.4,20.4,12.3,9.6,11.3
2283,2014 Mar 04,0.2,12.2,20.4,4.0,1.6,10.3
24120,2014 Mar 04,54.1,9.9,12.6,7.9,-,9.3
24976,2014 Mar 04,0.2,13.8,22.3,6.0,3.1,7.6
3445,2014 Mar 04,1.6,11.3,15.1,7.4,-,9.8
4271,2014 Mar 04,0.0,12.5,20.4,4.5,-1.5,7.4
5451,2014 Mar 04,2.8,9.1,11.9,6.2,4.5,7.6
11104,2014 Mar 05,0.8,12.2,15.5,8.8,6.0,11.3
18183,2014 Mar 05,0.0,17.1,20.8,14.6,12.7,12.8
1962,2014 Mar 05,2.6,16.4,20.4,12.4,12.4,13.3
2283,2014 Mar 05,0.0,15.5,22.0,9.0,7.4,10.7
24120,2014 Mar 05,86.3,10.9,14.3,7.8,-,12.4
24976,2014 Mar 05,12.3,15.1,21.9,8.3,5.4,9.7
3445,2014 Mar 05,6.5,12.7,13.7,11.6,-,12.8
4271,2014 Mar 05,0.0,16.0,22.8,9.2,1.3,9.7
5451,2014 Mar 05,0.0,11.6,20.3,2.8,0.7,8.8
11104,2014 Mar 06,0.0,10.0,15.6,4.3,0.9,12.0
18183,2014 Mar 06,0.0,18.2,24.5,12.5,8.9,13.0
1962,2014 Mar 06,0.0,17.0,21.9,12.0,8.4,13.3
2283,2014 Mar 06,0.0,17.8,23.1,12.5,10.3,11.1
24120,2014 Mar 06,0.0,13.1,18.2,7.8,-,12.0
24976,2014 Mar 06,3.0,15.7,19.6,13.4,13.0,13.7
3445,2014 Mar 06,0.0,13.7,16.9,10.5,-,12.5
4271,2014 Mar 06,0.0,14.0,19.2,8.8,1.5,12.8
5451,2014 Mar 06,0.0,12.8,20.9,4.7,2.3,10.8
11104,2014 Mar 07,1.8,13.9,17.5,10.2,8.9,13.5
18183,2014 Mar 07,0.0,17.0,24.3,10.9,8.8,13.5
1962,2014 Mar 07,0.0,17.2,22.9,11.4,6.9,15.3
2283,2014 Mar 07,0.0,15.1,20.3,9.8,6.4,13.5
24120,2014 Mar 07,0.0,14.7,19.9,10.3,-,13.1
24976,2014 Mar 07,0.0,15.9,22.4,11.6,9.8,12.9
3445,2014 Mar 07,0.0,15.0,20.5,9.4,-,12.8
4271,2014 Mar 07,0.0,15.3,20.0,10.6,3.4,14.3
5451,2014 Mar 07,5.6,14.2,20.9,7.4,5.1,11.9
11104,2014 Mar 08,0.0,13.2,15.7,10.6,8.7,12.4
18183,2014 Mar 08,0.0,17.2,24.4,10.6,8.9,13.5
1962,2014 Mar 08,0.0,17.4,23.0,11.7,7.1,14.7
2283,2014 Mar 08,0.0,15.0,20.6,9.3,7.7,13.2
24120,2014 Mar 08,0.0,15.5,22.6,11.5,-,14.0
24976,2014 Mar 08,0.0,17.0,26.1,9.8,8.7,13.8
3445,2014 Mar 08,0.0,17.1,20.9,13.3,-,13.8
4271,2014 Mar 08,0.2,15.3,21.1,9.4,2.5,13.6
5451,2014 Mar 08,0.0,15.5,20.5,10.5,9.3,12.8
11104,2014 Mar 09,0.0,13.6,15.8,11.3,9.0,11.9
18183,2014 Mar 09,0.0,17.0,22.2,10.6,7.4,14.6
1962,2014 Mar 09,0.0,19.4,23.1,15.6,12.8,15.9
2283,2014 Mar 09,0.0,14.8,20.5,9.0,7.5,14.5
24120,2014 Mar 09,0.0,14.1,17.0,11.6,-,13.4
24976,2014 Mar 09,0.0,17.3,23.9,13.2,11.0,14.9
3445,2014 Mar 09,0.0,14.9,17.9,11.9,-,13.8
4271,2014 Mar 09,0.0,16.2,21.1,11.3,6.5,15.1
5451,2014 Mar 09,0.0,13.8,20.8,6.7,5.0,11.7
11104,2014 Mar 10,0.0,12.8,15.0,10.5,10.2,11.7
18183,2014 Mar 10,0.0,18.8,25.5,13.3,9.7,15.5
1962,2014 Mar 10,0.0,19.1,25.2,12.9,8.7,16.3
2283,2014 Mar 10,0.0,18.0,22.3,13.6,12.2,14.7
24120,2014 Mar 10,0.0,14.6,19.9,9.8,-,12.7
24976,2014 Mar 10,1.3,16.2,21.0,11.2,9.1,14.6
3445,2014 Mar 10,0.0,15.2,17.5,12.8,-,13.6
4271,2014 Mar 10,0.0,18.5,20.5,16.4,13.9,16.1
5451,2014 Mar 10,0.0,13.3,19.0,7.5,4.8,12.3
11104,2014 Mar 11,0.2,12.0,17.5,6.4,3.2,12.8
18183,2014 Mar 11,0.2,18.4,25.5,13.1,12.1,16.5
1962,2014 Mar 11,0.0,18.8,24.0,13.5,9.9,16.7
2283,2014 Mar 11,0.0,14.9,20.6,9.2,6.3,14.1
24120,2014 Mar 11,0.5,14.1,16.4,12.3,-,13.9
24976,2014 Mar 11,0.0,15.6,23.7,8.3,6.4,13.0
3445,2014 Mar 11,0.0,14.6,18.6,10.6,-,14.1
4271,2014 Mar 11,0.4,18.3,21.1,15.5,15.5,16.6
5451,2014 Mar 11,0.0,15.3,22.5,8.0,6.0,12.0
11104,2014 Mar 12,0.0,13.9,19.4,8.3,3.9,13.6
18183,2014 Mar 12,0.0,18.2,24.9,11.6,10.3,15.1
1962,2014 Mar 12,0.0,19.4,23.4,15.4,11.2,16.3
2283,2014 Mar 12,0.0,14.7,19.8,9.5,7.0,13.7
24120,2014 Mar 12,0.0,15.1,19.3,12.3,-,14.1
24976,2014 Mar 12,0.0,16.2,23.9,9.8,7.6,13.3
3445,2014 Mar 12,0.0,17.0,19.6,14.3,-,14.6
4271,2014 Mar 12,6.6,17.5,19.7,15.2,14.5,16.0
5451,2014 Mar 12,0.0,14.7,23.5,5.9,3.7,10.1
11104,2014 Mar 13,1.0,14.1,19.6,8.6,4.5,12.3
18183,2014 Mar 13,0.0,19.6,26.1,15.6,14.2,16.0
1962,2014 Mar 13,0.0,18.8,24.9,12.7,9.6,14.8
2283,2014 Mar 13,0.0,14.9,21.8,8.0,6.7,13.3
24120,2014 Mar 13,0.0,16.5,26.5,8.3,-,13.0
24976,2014 Mar 13,0.0,18.1,26.9,9.8,7.5,13.6
3445,2014 Mar 13,0.0,17.1,18.8,15.3,-,14.2
4271,2014 Mar 13,0.0,15.2,20.4,10.0,5.6,14.6
5451,2014 Mar 13,0.0,12.9,19.0,6.8,3.9,10.7
11104,2014 Mar 14,0.0,12.3,19.7,4.8,1.1,11.4
18183,2014 Mar 14,8.2,18.1,20.5,16.1,14.8,17.2
1962,2014 Mar 14,0.0,18.4,23.2,13.5,10.3,15.8
2283,2014 Mar 14,0.0,15.9,22.4,9.4,5.9,14.6
24120,2014 Mar 14,0.0,15.6,21.3,11.6,-,13.8
24976,2014 Mar 14,0.0,18.2,24.8,11.6,9.9,14.6
3445,2014 Mar 14,0.0,16.6,19.7,13.5,-,14.9
4271,2014 Mar 14,0.0,16.8,21.9,11.6,7.8,15.1
5451,2014 Mar 14,0.0,13.8,22.3,5.2,2.7,10.9
11104,2014 Mar 15,0.0,11.4,17.7,5.1,0.2,12.7
18183,2014 Mar 15,35.4,19.6,20.9,18.0,16.4,22.0
1962,2014 Mar 15,14.2,20.6,22.7,18.4,17.2,21.0
2283,2014 Mar 15,2.0,19.7,22.9,16.4,15.0,16.7
24120,2014 Mar 15,0.0,15.2,19.0,12.7,-,13.9
24976,2014 Mar 15,10.7,19.1,21.4,16.4,14.9,19.5
3445,2014 Mar 15,2.5,17.8,21.1,14.4,-,15.7
4271,2014 Mar 15,4.2,17.6,22.4,12.8,9.6,13.5
5451,2014 Mar 15,0.0,13.4,20.7,6.0,4.4,11.7
11104,2014 Mar 16,0.2,16.7,19.8,13.6,11.9,14.7
18183,2014 Mar 16,1.4,19.4,22.2,16.8,14.3,20.0
1962,2014 Mar 16,2.8,21.0,24.6,17.3,16.0,20.6
2283,2014 Mar 16,0.8,20.0,22.8,17.2,16.3,19.6
24120,2014 Mar 16,34.8,15.9,17.4,14.5,-,17.1
24976,2014 Mar 16,4.0,22.8,27.8,19.2,17.1,19.1
3445,2014 Mar 16,21.0,21.1,25.9,16.3,-,19.1
4271,2014 Mar 16,84.2,20.0,23.6,16.3,15.6,18.6
5451,2014 Mar 16,2.2,17.7,21.2,14.1,12.8,12.8
11104,2014 Mar 17,17.8,14.8,20.3,9.3,5.7,14.4
18183,2014 Mar 17,0.0,19.1,23.4,16.5,12.3,19.1
1962,2014 Mar 17,0.0,20.2,24.0,16.3,12.8,18.2
2283,2014 Mar 17,0.0,19.2,21.8,16.6,15.5,18.5
24120,2014 Mar 17,0.0,19.7,27.9,14.9,-,16.3
24976,2014 Mar 17,0.0,22.3,28.9,17.4,15.4,14.5
3445,2014 Mar 17,0.2,19.7,22.4,17.0,-,17.4
4271,2014 Mar 17,0.2,20.1,24.5,15.6,11.5,17.6
5451,2014 Mar 17,19.0,15.6,21.1,10.1,5.9,15.2
11104,2014 Mar 18,0.4,13.9,22.0,5.7,0.1,12.7
18183,2014 Mar 18,0.0,18.9,24.5,14.2,10.6,19.3
1962,2014 Mar 18,0.0,19.8,24.6,14.9,12.3,19.0
2283,2014 Mar 18,20.6,17.1,20.1,14.1,11.6,18.8
24120,2014 Mar 18,0.4,16.5,20.4,13.7,-,15.6
24976,2014 Mar 18,0.0,19.8,28.0,14.4,11.7,15.2
3445,2014 Mar 18,0.3,19.4,22.0,16.8,-,18.4
4271,2014 Mar 18,0.0,20.1,22.4,17.8,15.7,19.5
5451,2014 Mar 18,1.8,16.5,21.8,11.1,7.9,12.7
11104,2014 Mar 19,0.4,15.8,20.6,10.9,5.6,15.1
18183,2014 Mar 19,7.0,18.9,23.8,16.9,13.7,20.1
1962,2014 Mar 19,0.0,19.7,22.9,16.4,14.2,15.9
2283,2014 Mar 19,0.4,15.9,20.3,11.4,7.3,15.8
24120,2014 Mar 19,0.2,16.2,21.7,13.3,-,15.1
24976,2014 Mar 19,0.0,19.7,25.4,14.4,13.1,17.9
3445,2014 Mar 19,0.0,18.2,20.3,16.0,-,16.5
4271,2014 Mar 19,0.2,17.6,20.3,14.9,10.0,18.0
5451,2014 Mar 19,0.0,13.9,19.6,8.2,5.4,11.8
11104,2014 Mar 20,2.6,10.4,16.0,4.8,0.1,11.1
18183,2014 Mar 20,0.0,18.5,23.4,15.1,13.7,16.9
1962,2014 Mar 20,0.0,17.2,22.2,12.1,8.5,16.0
2283,2014 Mar 20,0.0,15.0,21.3,8.6,6.6,14.8
24120,2014 Mar 20,0.0,14.7,21.4,10.8,-,12.1
24976,2014 Mar 20,0.0,19.7,26.5,13.5,10.9,17.0
3445,2014 Mar 20,0.0,19.4,23.5,15.2,-,15.2
4271,2014 Mar 20,0.0,19.5,26.3,12.7,9.1,14.0
5451,2014 Mar 20,0.0,14.1,18.9,9.3,5.7,9.6
11104,2014 Mar 21,0.0,10.8,19.1,2.4,-1.6,9.4
18183,2014 Mar 21,0.0,18.3,24.1,13.7,11.6,16.0
1962,2014 Mar 21,0.0,20.4,25.5,15.3,11.3,15.8
2283,2014 Mar 21,0.0,19.4,24.0,14.7,13.2,13.5
24120,2014 Mar 21,0.0,13.0,18.8,6.6,-,11.3
24976,2014 Mar 21,13.8,16.2,19.7,14.2,12.5,15.6
3445,2014 Mar 21,0.0,14.7,17.0,12.3,-,12.2
4271,2014 Mar 21,0.0,17.7,21.4,13.9,8.1,11.5
5451,2014 Mar 21,0.0,11.2,18.9,3.4,0.6,9.8
11104,2014 Mar 22,0.0,11.7,19.3,4.0,0.0,11.3
18183,2014 Mar 22,22.0,17.5,23.5,14.1,12.8,16.8
1962,2014 Mar 22,0.0,18.2,23.2,13.1,11.2,13.4
2283,2014 Mar 22,0.0,16.2,21.6,10.7,8.6,10.9
24120,2014 Mar 22,0.0,13.7,18.7,9.2,-,10.6
24976,2014 Mar 22,2.2,15.9,20.4,11.3,9.5,14.0
3445,2014 Mar 22,0.0,14.5,17.6,11.3,-,10.9
4271,2014 Mar 22,0.0,14.5,19.2,9.7,4.3,10.9
5451,2014 Mar 22,0.0,11.9,19.4,4.4,2.0,10.8
11104,2014 Mar 23,0.0,14.5,19.1,9.9,5.9,12.9
18183,2014 Mar 23,0.2,16.6,23.8,11.4,10.6,15.8
1962,2014 Mar 23,0.0,18.6,23.5,13.7,8.8,16.3
2283,2014 Mar 23,0.0,18.2,22.5,13.9,12.4,14.3
24120,2014 Mar 23,0.0,14.0,19.0,9.6,-,11.6
24976,2014 Mar 23,5.4,17.4,21.6,12.7,11.0,16.3
3445,2014 Mar 23,0.0,14.0,17.7,10.3,-,12.9
4271,2014 Mar 23,0.0,13.7,19.7,7.7,3.0,11.2
5451,2014 Mar 23,0.0,13.1,21.6,4.5,1.2,9.5
11104,2014 Mar 24,1.0,14.5,19.1,9.8,6.2,13.3
18183,2014 Mar 24,19.0,18.0,24.2,13.7,12.8,17.7
1962,2014 Mar 24,0.0,18.5,24.2,12.8,9.3,17.0
2283,2014 Mar 24,0.4,17.8,21.4,14.1,10.2,16.6
24120,2014 Mar 24,0.0,16.1,25.1,8.3,-,12.5
24976,2014 Mar 24,0.0,16.0,24.3,9.7,7.8,14.6
3445,2014 Mar 24,0.0,17.5,20.7,14.2,-,14.1
4271,2014 Mar 24,0.0,14.9,20.2,9.6,4.8,13.3
5451,2014 Mar 24,0.0,13.7,20.3,7.1,5.2,10.3
11104,2014 Mar 25,7.2,9.2,13.9,4.4,0.4,10.1
18183,2014 Mar 25,0.2,17.3,22.1,13.5,12.6,16.5
1962,2014 Mar 25,1.0,17.4,21.9,12.9,10.1,16.4
2283,2014 Mar 25,0.0,15.0,20.3,9.7,7.1,14.9
24120,2014 Mar 25,10.2,11.7,19.3,8.0,-,12.1
24976,2014 Mar 25,0.0,17.9,26.2,11.9,11.0,14.2
3445,2014 Mar 25,3.6,16.0,20.9,11.1,-,14.1
4271,2014 Mar 25,0.0,16.0,21.3,10.6,6.1,12.8
5451,2014 Mar 25,4.8,9.5,14.3,4.6,0.2,9.5
11104,2014 Mar 26,1.0,9.6,14.7,4.5,2.6,9.9
18183,2014 Mar 26,2.0,17.7,20.6,15.4,13.4,14.8
1962,2014 Mar 26,2.0,18.3,20.4,16.2,14.6,13.5
2283,2014 Mar 26,0.0,14.1,19.6,8.6,6.2,10.8
24120,2014 Mar 26,0.4,10.6,17.0,4.8,-,9.7
24976,2014 Mar 26,0.0,14.6,18.2,9.2,5.9,10.6
3445,2014 Mar 26,0.0,12.6,15.4,9.8,-,10.2
4271,2014 Mar 26,0.0,13.0,18.6,7.4,2.7,9.6
5451,2014 Mar 26,0.0,9.5,18.6,0.4,-2.5,8.6
11104,2014 Mar 27,0.0,13.0,14.9,11.1,9.4,11.6
18183,2014 Mar 27,0.0,17.2,21.4,12.3,10.8,13.9
1962,2014 Mar 27,0.0,18.2,21.3,15.0,12.8,14.6
2283,2014 Mar 27,0.0,13.7,20.0,7.3,5.0,11.8
24120,2014 Mar 27,0.0,13.9,21.4,6.8,-,11.9
24976,2014 Mar 27,0.0,13.7,19.9,8.2,5.2,10.5
3445,2014 Mar 27,0.0,13.0,17.9,8.0,-,11.9
4271,2014 Mar 27,0.0,14.3,19.1,9.4,4.7,12.7
5451,2014 Mar 27,0.0,12.1,21.1,3.1,0.6,10.2
11104,2014 Mar 28,0.0,13.8,15.8,11.8,10.5,12.9
18183,2014 Mar 28,0.0,16.5,22.2,10.6,8.9,14.9
1962,2014 Mar 28,0.0,17.2,22.4,12.0,7.6,15.6
2283,2014 Mar 28,0.0,12.7,18.0,7.3,4.8,13.7
24120,2014 Mar 28,0.0,13.0,18.5,7.2,-,12.6
24976,2014 Mar 28,0.0,15.1,23.2,8.5,7.0,12.8
3445,2014 Mar 28,0.0,16.0,19.7,12.2,-,13.8
4271,2014 Mar 28,0.0,14.5,19.0,9.9,5.9,13.9
